Attr1,Attr2,Identity
-0.08149,0.20060,Kiwi
0.78662,-0.63151,Aussie
-0.05011,0.30079,Kiwi
-0.09093,0.33765,Kiwi
0.33801,-0.08768,Kiwi
-0.35312,-0.13392,Kiwi
-0.96256,-0.29529,Aussie
-1.08492,-0.06099,Aussie
-0.05219,-0.94235,Aussie
-0.64118,-0.79273,Aussie
-0.29192,-0.28623,Kiwi
-0.03568,0.32317,Kiwi
0.30832,-1.02829,Aussie
-0.14716,-0.24880,Kiwi
-0.98025,0.44046,Aussie
-0.07497,-0.17786,Kiwi
-0.34248,0.10853,Kiwi
-0.16372,-0.22726,Kiwi
0.34962,-0.07467,Kiwi
0.15209,-0.26847,Kiwi
-0.66641,0.78958,Aussie
0.10196,-1.06440,Aussie
-0.20139,-0.34541,Kiwi
-0.19084,0.19280,Kiwi
-0.30715,-0.18403,Kiwi
-0.67613,-0.76329,Aussie
0.20332,0.98178,Aussie
0.65435,0.70831,Aussie
0.56133,-0.81546,Aussie
-0.03494,0.94491,Aussie
-0.60672,-0.80051,Aussie
-0.00872,1.00960,Aussie
0.08863,-0.32537,Kiwi
0.73860,0.63269,Aussie
0.21011,0.19868,Kiwi
-0.53713,-0.78263,Aussie
0.42273,-0.91782,Aussie
-0.18281,-0.30678,Kiwi
0.69343,0.64076,Aussie
-0.05960,0.28228,Kiwi
0.24477,-0.15272,Kiwi
-0.10903,-0.22227,Kiwi
-0.20945,0.93498,Aussie
0.99259,-0.09098,Aussie
-0.98410,0.05925,Aussie
-0.15569,-1.03070,Aussie
0.32104,-0.00232,Kiwi
1.00918,-0.19537,Aussie
-0.61748,0.82908,Aussie
-1.04057,0.06421,Aussie
0.64414,0.73806,Aussie
-0.71765,-0.63474,Aussie
-0.15233,0.14719,Kiwi
0.83108,-0.57344,Aussie
-0.09163,0.29069,Kiwi
0.29342,0.14490,Kiwi
-0.02777,-0.35520,Kiwi
0.09514,0.29470,Kiwi
0.80458,0.73244,Aussie
0.45100,-0.93962,Aussie
-0.27205,0.11770,Kiwi
-0.86857,-0.35261,Aussie
0.27135,0.09301,Kiwi
0.22215,-0.34048,Kiwi
0.14387,0.21137,Kiwi
0.26114,-0.04351,Kiwi
-0.21691,-0.15165,Kiwi
0.99518,-0.21715,Aussie
0.25471,0.19203,Kiwi
-0.10258,-0.98072,Aussie
0.18871,-0.31043,Kiwi
-0.14631,-0.24808,Kiwi
0.12614,0.23784,Kiwi
-0.25234,-0.16603,Kiwi
-0.52753,0.84628,Aussie
-0.09682,-0.96557,Aussie
-0.83846,-0.39741,Aussie
-0.31903,1.04822,Aussie
0.96825,-0.06641,Aussie
-0.10239,0.28172,Kiwi
0.33919,0.02609,Kiwi
0.93946,0.20263,Aussie
-0.19244,-0.96562,Aussie
0.25645,0.23915,Kiwi
-0.26042,-0.12550,Kiwi
0.04665,0.32871,Kiwi
0.14083,0.95346,Aussie
1.02826,-0.25240,Aussie
0.07869,-0.30847,Kiwi
0.13402,-1.07498,Aussie
0.27738,0.13714,Kiwi
0.55982,0.69932,Aussie
-0.15347,-0.28655,Kiwi
0.09380,1.00149,Aussie
-0.95048,0.33319,Aussie
-0.17742,1.02782,Aussie
0.93456,0.37273,Aussie
-0.17549,-0.19142,Kiwi
0.03704,0.24040,Kiwi
-0.32032,0.96839,Aussie
-0.92631,0.01657,Aussie
0.38231,0.94983,Aussie
-0.83907,-0.56540,Aussie
0.34561,-0.88994,Aussie
0.33796,-0.08566,Kiwi
-0.52252,-0.91063,Aussie
0.29843,0.11719,Kiwi
0.51842,-0.82965,Aussie
-0.97397,-0.35960,Aussie
-0.31067,0.02954,Kiwi
-0.87100,0.44785,Aussie
0.16102,-0.17601,Kiwi
0.52758,-0.84738,Aussie
-0.29126,0.86273,Aussie
0.27978,-0.04555,Kiwi
-0.32570,0.18281,Kiwi
-0.19439,-0.18449,Kiwi
0.24333,0.01340,Kiwi
-0.26592,0.16970,Kiwi
0.16402,-0.11801,Kiwi
0.92133,0.47814,Aussie
-0.21778,0.28410,Kiwi
-1.01594,0.03599,Aussie
0.97207,-0.09482,Aussie
0.24423,0.18816,Kiwi
-0.35842,0.04415,Kiwi
0.22638,-0.21988,Kiwi
0.82208,0.30233,Aussie
0.54812,-0.79338,Aussie
0.08126,-0.97427,Aussie
-0.07629,0.90580,Aussie
-0.78941,-0.53295,Aussie
0.22405,-0.95859,Aussie
0.16920,0.22674,Kiwi
0.76649,-0.59282,Aussie
0.24029,-0.10618,Kiwi
0.05417,1.06853,Aussie
-0.68901,0.73636,Aussie
-0.02786,0.22777,Kiwi
-0.15719,0.22159,Kiwi
0.17887,-0.16266,Kiwi
0.52168,-0.78904,Aussie
1.04185,-0.01705,Aussie
0.12265,0.28822,Kiwi
0.22494,-0.19284,Kiwi
-0.28083,0.12063,Kiwi
0.28159,-0.05846,Kiwi
-0.86625,-0.55831,Aussie
0.86985,-0.47916,Aussie
-0.34686,0.99669,Aussie
-0.96000,-0.48330,Aussie
-1.00508,0.14725,Aussie
0.95273,-0.25622,Aussie
0.04889,0.34372,Kiwi
